No,Keyword,Volume,Position,Estimated Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL
1836,posters for nursery,320,2,51,$0.60,100,15,https://eastendprints.co.uk/categories/nursery-art-prints
1837,nursery pictures in frames,320,21,1,$0.50,100,15,https://eastendprints.co.uk/categories/nursery-art-prints
1838,posters nursery,320,3,31,$0.59,99,16,https://eastendprints.co.uk/categories/nursery-art-prints
1839,abstract print,320,6,21,$0.79,100,31,https://eastendprints.co.uk/categories/abstract-prints/
1840,floral pictures,320,14,2,$0.32,100,41,https://eastendprints.co.uk/categories/floral-art-prints
1841,blue posters,320,17,2,$0.43,99,48,https://eastendprints.co.uk/categories/blue-art-prints
1842,light yellow painting,320,20,1,$0.31,100,43,https://eastendprints.co.uk/categories/yellow-art-prints
1843,picture framing shops london,320,61,0,$2.01,99,33,https://eastendprints.co.uk/blog/where-can-i-get-my-pictures-framed-in-east-london/
1844,the london print,320,11,10,$2.64,5,37,https://eastendprints.co.uk/categories/london-art-prints.html
1845,film noir movie posters,320,74,0,$0.17,52,19,https://eastendprints.co.uk/categories/film-movie-art-prints
1846,wall art childrens room,320,30,0,$0.64,100,30,https://eastendprints.co.uk/categories/art-prints-frames/kids-prints.html
1847,retro photos,320,32,0,$1.40,100,51,https://eastendprints.co.uk/categories/retro
1848,black and white framed pictures,320,4,31,$0.57,100,17,https://eastendprints.co.uk/categories/black-and-white-art-prints
1849,living room framed prints,320,38,0,$0.56,100,21,https://eastendprints.co.uk/categories/inspiration/styles-and-trends/bright-and-fun.html
1850,black and white picture frame,320,62,0,$0.57,100,27,https://eastendprints.co.uk/categories/black-and-white-art-prints
1851,black and white poster,320,30,0,$0.59,100,34,https://eastendprints.co.uk/categories/black-and-white-art-prints
1852,brown artwork,320,4,51,$0.48,100,15,https://eastendprints.co.uk/categories/brown-art-prints
1853,utility room wallpaper,320,81,0,$0.41,100,27,https://eastendprints.co.uk/categories/laundry-utility-room-art-prints
1854,printable movie posters,320,49,0,$0.78,100,64,https://eastendprints.co.uk/categories/film-movie-art-prints
1855,nursery posters,320,2,97,$0.59,99,16,https://eastendprints.co.uk/categories/nursery-art-prints
1856,nursery wall hanging decor,320,70,0,$0.40,100,16,https://eastendprints.co.uk/categories/nursery-art-prints
1857,anthony green painter,320,71,0,$0,1,27,https://eastendprints.co.uk/categories/artists/artists-s-z/tony-green.html
1858,90s film poster,320,82,0,$0.52,68,32,https://eastendprints.co.uk/categories/film-movie-art-prints
1859,floral wall hangings,320,51,0,$0.36,100,44,https://eastendprints.co.uk/categories/floral-art-prints
1860,framed prints for living room,320,1,97,$0.68,100,28,https://eastendprints.co.uk/categories/lounge-art-prints
1861,frame black and white pictures,320,32,0,$0.52,100,33,https://eastendprints.co.uk/categories/black-and-white-art-prints
1862,geometric prints,320,15,3,$0.55,100,16,https://eastendprints.co.uk/products/geometric-shapes-colors-i.html
1863,disco cat,260,4,31,$0.17,4,44,https://eastendprints.co.uk/products/disco-cat.html
1864,wall art flowers canvas,320,63,0,$0.42,100,20,https://eastendprints.co.uk/categories/floral-art-prints
1865,travel artwork,320,10,4,$0.66,100,38,https://eastendprints.co.uk/categories/travel-art-prints
1866,sci-fi film posters,320,85,0,$0,64,33,https://eastendprints.co.uk/categories/film-movie-art-prints
1867,film noir posters,320,80,0,$0.17,56,24,https://eastendprints.co.uk/categories/film-movie-art-prints
1868,teenage bedroom wallpaper,320,75,0,$0.38,100,32,https://eastendprints.co.uk/categories/teen-bedroom-art-prints
1869,brown art,320,8,8,$0.85,100,40,https://eastendprints.co.uk/categories/brown-art-prints
1870,office posters,320,14,3,$0.63,100,36,https://eastendprints.co.uk/categories/home-office-art-prints
1871,abstract printing,320,15,1,$0.79,100,50,https://eastendprints.co.uk/categories/abstract-prints/
1872,90s movie poster,320,99,0,$0.52,68,37,https://eastendprints.co.uk/categories/film-movie-art-prints
1873,artwork printing uk,320,99,0,$1.41,100,51,https://eastendprints.co.uk/art-prints-and-frames
1874,art cheap,320,33,0,$1.52,99,52,https://eastendprints.co.uk/
1875,artwork in frame,320,62,0,$1.29,100,55,https://eastendprints.co.uk/
1876,poster buy,320,50,0,$1.29,100,63,https://eastendprints.co.uk/
1877,sports artworks,320,2,51,$1.43,96,35,https://eastendprints.co.uk/sport-prints/
1878,poster music,320,23,1,$0.68,99,42,https://eastendprints.co.uk/categories/music-art-prints.html
1879,nice bum print,320,7,15,$0.28,100,17,https://eastendprints.co.uk/products/nice-bum.html
1880,natural history museum prints,320,2,51,$0.67,100,22,https://eastendprints.co.uk/artists/artists-m-r/Natural-History-Museum/
1881,london pop art,320,11,4,$1,88,34,https://eastendprints.co.uk/categories/artists/artists-m-r/oshe-pop.html
